brand_id,brand_name,brand_maker,brand_active,brand_sts
,PHANTOM DROPHEAD COUPE,65,,
,,65,,
,SILVER DAWN,65,,
,SILVER SERAPH,65,,
,SILVER SPIRIT II,65,,
,SILVER SPUR,65,,
,SILVER SPUR II,65,,
,SILVER SPUR WITH DIVISION,65,,
,,65,,
,TOURING LIMOUSINE,65,,
,,65,,
,WRAITH,65,,
,ROVER,66,,
,100,66,,
,200,66,,
,400,66,,
,600,66,,
,75,66,,
,800,66,,
,CABRIOLET,66,,
,COUPE,66,,
,GSI ESTATE,66,,
,MINI,66,,
,TOURER,66,,
,TVR,67,,
,CERBERRA,67,,
,CHIMAERA,67,,
,GRIFFITH,67,,
,T350,67,,
,TAMORA,67,,
,TUSCAN,67,,
,CT T,68,,
,EZONE SEDAN,68,,
,DAEWOO,,,
,MATIZ,69,,
,GM MATIZ,,,
,MATIZ,70,,
,HYUNDAI,,,
,COUPE,71,,
,ELANTRA,71,,
,ELANTRA EURO,71,,
,GRANDEUR,71,,
,I30,71,,
,I30 CW,71,,
,JM,71,,
,SANTA FE,71,,
,SONATA,71,,
,TB,71,,
,TRAJET,71,,
,XG250,71,,
,XG300,71,,
,XG300L,71,,
,KIA,72,,
,VIGATO,72,,
,BIRKIN,73,,
,S3,73,,
